region,epiweek,week_end_date,wILI,confirmed_cases,uci_beds,death,recovered,hosp_rate,hospitalization,cli_er_visit,ili_er_visit,negative_cases,people_tested,emergency_facility_reporting,num_provider,kinsa_cases,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,historical_endogeneous
Region 5,6,2020-02-08,5.5292900000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.1346153846153847,0.5853658536585367,0.0,0.0,0.9333333333333336,0.9705882352941173,0.7748362478222456,0.0,0.0,0.0,0.0,0.0,0.0,0.5062385445947497,0.8211330185297221,0.8612118971327436,0.8500264043966301,0.9003249357037699,0.8460213338846226,0.8798330292584949,0.8541262198961618,0.8810980665095444,0.8673420625512561,0.8756691277736222,0.835667059038021,0.8843311780345883,0.8473710383555271,0.881689636880526,0.8589377489913255,0.8866655609749705,0.8667068541836496,0.8782325885974678,0.8649144256680994,0.8834383242912621,0.8460683545912941,0.9079959436014815,0.8556832177576872,0.8998262016746904,0.8571574389509321,0.8834580973230057,5.5292900000000005
Region 5,7,2020-02-15,5.19919,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461542,0.5121951219512196,0.0,0.0,0.9333333333333336,0.9313725490196076,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.5420921025213588,0.8828689872343485,0.9039231718806429,0.884787698989356,0.9145570364429173,0.8910833504340319,0.9103696038118264,0.9081067841817917,0.9221702290258478,0.9468898646666789,0.9440481039576001,0.8719610436004842,0.9016710568441816,0.8900822628270161,0.9095210884624629,0.9100514567827389,0.9250531223490509,0.950046985440966,0.9502672799833176,0.9317439419287822,0.9390810216426879,0.888246722485474,0.9277290324484974,0.9025290894822672,0.927793701447402,0.9143038481597526,0.9272918377572122,5.19919
Region 5,8,2020-02-22,4.70476,2.3685457129322596e-05,0.0,0.0,0.0,0.0,0.0,0.07692307692307698,0.4634146341463415,0.0,0.0,0.9666666666666686,0.8725490196078431,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.5347159910015267,0.9270282906231195,0.9280693071948318,0.8991163688370846,0.9038690411685166,0.9122610276448901,0.9171085453106096,0.9412150615241395,0.9454917373050101,0.9947596015526691,0.9869272066448428,0.8856076169041417,0.8939595784482088,0.9133588796444884,0.9189893200712407,0.9451457347593637,0.9501967699552258,0.996261260862273,0.9906277636683313,0.9740795020754635,0.9704936038259381,0.917124884701351,0.929698768297437,0.942023807037505,0.9468924629404224,0.9466054621628343,0.9489823630009856,4.70476
Region 5,9,2020-02-29,4.48355,0.00011842728564661298,0.0,0.0,0.0,0.0,0.0,0.05769230769230771,0.43902439024390255,0.00011944679990185993,0.00023992174226432583,1.0,0.8431372549019609,0.8315267079544724,0.0,0.0,0.0,0.0,0.0,0.0,0.5709926812983996,0.9913662012197322,1.0,0.9940093224449905,1.0,0.9847591912747915,0.9934657070816543,0.9871001656295352,0.9967307634788647,0.9999999999999999,1.0,0.9804728857050576,0.9920588372597436,0.9809349650514674,0.9913170837617583,0.9898838227527365,0.9999907009560073,1.0,1.0,1.0,0.9999999999999999,0.9846760351209761,0.9992101976495427,0.9925063711574789,1.0,0.9927072327692372,1.0,4.48355
Region 5,10,2020-03-07,4.31036,0.004239696826148744,0.0,0.0,0.0,0.0034358047016274868,0.0,0.07692307692307698,0.43902439024390255,0.00146779671230754,0.0026865056891314425,0.9333333333333336,0.8823529411764706,0.7048992872623239,0.0,0.0,0.0,0.0,0.0,0.0,0.4622582936070866,1.0,0.9966854978427111,1.0,0.9894353366407692,1.0,1.0,1.0,1.0,0.9953585630111781,0.9841665221750123,1.0,1.0,1.0,1.0,1.0,1.0,0.9865352531527843,0.9738663223934161,0.9931010952954444,0.9810858378912583,1.0,1.0,1.0,0.9955243100004033,1.0,0.996484388842074,4.31036
Region 5,11,2020-03-14,4.4153199999999995,0.05078162008526765,0.0,0.01776429809358752,0.0,0.014014466546112117,0.005981346309813463,0.28846153846153855,0.6341463414634148,0.018659527119804065,0.025483190032435776,0.9000000000000021,0.7254901960784315,0.6756741301609633,0.0,0.0,0.0,0.0,0.0,0.0,0.15646329379845292,0.575786432786584,0.5589520597916298,0.6848430755416426,0.6457538208879601,0.6831574875553955,0.6497919478945597,0.6875204378853055,0.6540274693902378,0.6772813391381272,0.6387612172606723,0.6838324328158638,0.6513041792342,0.6882039647428964,0.654718609547133,0.6898546435446837,0.6560676964161702,0.6675875770236932,0.6284995080073248,0.6762335184330479,0.6369559577149009,0.6665346358697773,0.6332337498423241,0.6823331053758092,0.6467706126296165,0.6865250306210047,0.6511973540273448,4.4153199999999995
Region 5,12,2020-03-21,4.55319,0.23633349123638087,0.0,0.1572790294627383,0.0002894503270449496,0.21518987341772156,0.03477291159772912,0.8076923076923078,1.0,0.08362890139074815,0.09446429490809866,0.9333333333333336,0.7450980392156863,0.6656205093734225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34690443951714683,0.3610843893670375,0.5349691960311672,0.5047188790822587,0.5423195501614099,0.5222945900447483,0.5135223502196635,0.4954488048304831,0.42364546828034694,0.40136212899042406,0.5667359049770939,0.5443371384659522,0.5511454891772188,0.5315062212279762,0.5079194273324005,0.4884054183469826,0.3900015538792264,0.36622309467372544,0.42039931576887946,0.3924248996410649,0.4921268913679656,0.4670044335160539,0.4937988074248872,0.4693502640319889,0.5000082089172613,0.47930326118010347,4.55319
Region 5,13,2020-03-28,3.0447599999999997,0.5438891520606348,0.007721553717712539,0.505632582322357,0.00043587148857745345,0.6654611211573237,0.13919302514193024,0.980769230769231,0.8292682926829269,0.10000387395026708,0.11865829171600681,0.9000000000000021,0.5686274509803924,0.40045689907462756,0.0,0.0,0.0,0.0,0.0,0.0,0.018904873889543317,0.09171268558563594,0.13060322391063406,0.341186584947518,0.31452969326294383,0.33796634421062155,0.3203170070932806,0.3104309938691228,0.2953323914514134,0.23739553568673313,0.22167698400652108,0.3650982214196622,0.34379184934384,0.34462331605032004,0.3272234792514332,0.30575307552271735,0.28970304064696384,0.21256574937790068,0.19647996168796605,0.24013777225488986,0.21917146371318014,0.3026633330962506,0.27901855834122424,0.30040588585605243,0.27921137987446293,0.30188137924389535,0.2851915763619527,3.0447599999999997
Region 5,14,2020-04-04,2.28111,0.6193036475603979,0.6599380707874417,0.8513864818024263,0.0027870900631476593,1.0,0.8810827250608273,1.0,0.6585365853658538,0.11173656277305968,0.13184780929825465,0.9000000000000021,0.5,0.17115938840910452,0.0,0.0,0.0,0.0,0.0,0.0,0.06002738665793472,0.08680824093322304,0.12060623021617844,0.3445060967738762,0.31011365503106525,0.33385883927701704,0.3117038464241343,0.3019655501198996,0.2845867711519312,0.2283285242318555,0.2124587193978388,0.3655532683678116,0.337929374988379,0.3387271085957193,0.31763019259330894,0.29837110750033485,0.2797442950131068,0.20520300243944276,0.1882615359009197,0.23509377842417076,0.21162357470680396,0.3063214442734872,0.275015584127339,0.2958523349604172,0.2701914765079238,0.29486560750504226,0.27573929597767144,2.28111
Region 5,15,2020-04-11,1.7258900000000001,0.6116058739933681,1.0,0.9350086655112652,0.006994295793359603,0.7613019891500906,0.5497769667477697,0.8846153846153849,0.4634146341463415,0.11488845175425381,0.13606960819646813,0.8000000000000007,0.5882352941176472,0.0836804142701475,0.0,0.0,0.0,0.0,0.0,0.0,0.08319973123652458,0.10106703744467749,0.12855573040585472,0.35087029187238117,0.30683638336236113,0.3458320494726421,0.3173029776149913,0.3165641448484552,0.2945626651135921,0.24357817099122142,0.22440382504502496,0.3755628060229077,0.3394370702314437,0.35258793819682965,0.32528236700101587,0.31362231996852274,0.28995222694160844,0.2164690197055506,0.19613301397971517,0.24439271172023358,0.21644126566513194,0.31378462117804456,0.2735306624279471,0.3048732020810794,0.27336301310769123,0.3090319483770036,0.2847679593136251,1.7258900000000001
