region,epiweek,week_end_date,historical_endogeneous,confirmed_cases,uci_beds,death,recovered,hosp_rate,hospitalization,cli_er_visit,ili_er_visit,negative_cases,people_tested,emergency_facility_reporting,num_provider,kinsa_cases,wILI,health_tweet
Region 9,202018,2/5/2020,1.14842,16323,11838,738,14131,1.98E-05,3218.28125,3.4,1.5,249653,265330,139,151,0.564996833,1.14842,0.511312056
Region 9,202019,9/5/2020,1.01959,15544,12289,717,22627,1.90E-05,3501.359375,3,1.3,309572,325109,139,152,0.172964485,1.01959,0.346018316
Region 9,202020,16/05/2020,0.792753,17250,12114,667,28674,1.27E-05,3328.320313,2.7,1.1,385953,403233,140,141,0.465579444,0.792753,0.296216445
Region 9,202021,23/05/2020,0.795684,13457,8986,341,23345,7.92E-06,918,2.4,1,308619,321921,138,113,0.342499069,0.795684,0.709593015
Region 10,202001,4/1/2020,5.70858,0,0,0,0,0,0,2.5,2.9,0,0,194,175,4.877308296,5.70858,0.460897023
Region 10,202002,11/1/2020,4.09724,0,0,0,0,0,0,2.2,2.4,0,0,194,179,4.946022586,4.09724,0.42342874
Region 10,202003,18/01/2020,3.58253,1,0,0,0,0,0,1.7,1.6,0,0,196,178,4.88952316,3.58253,0.484874174
Region 10,202004,25/01/2020,3.8196,0,0,0,0,0,0,1.5,1.4,0,0,193,177,4.879409518,3.8196,0.446207238
Region 10,202005,1/2/2020,3.89226,0,0,0,0,0,0,1.5,1.5,0,1,192,177,4.885853438,3.89226,0.574664364
Region 10,202006,8/2/2020,3.51263,0,0,0,0,0,0,1.7,1.8,0,0,193,178,4.785732779,3.51263,1.058787651
Region 10,202007,15/02/2020,3.44896,0,0,0,0,0,0,1.7,1.6,0,0,192,176,5.289594035,3.44896,0.707221577
Region 10,202008,22/02/2020,3.59175,10,0,5,0,0,0,1.6,1.5,23,39,196,174,4.607026032,3.59175,0.406116089
Region 10,202009,29/02/2020,3.92614,105,0,22,0,0,0,1.7,1.6,1771,2013,194,175,4.828841307,3.92614,0.857793622
Region 10,202010,7/3/2020,5.59416,534,0,24,0,3.10E-07,0,1.9,1.7,15429,16369,193,178,4.918073037,5.59416,0.962019307
Region 10,202011,14/03/2020,5.81769,1184,0,63,0,1.55E-06,0,3.3,3.1,27560,29460,194,175,4.285129483,5.81769,1.771578284
Region 10,202012,21/03/2020,5.86867,3217,0,123,0,4.95E-06,142,5,4.2,36359,39607,195,170,2.641512951,5.86867,2.137247045
Region 10,202013,28/03/2020,4.34456,4522,174,164,0,1.21E-05,733,6.9,5.1,36966,41002,194,166,1.284489078,4.34456,0.78984157
Region 10,202014,4/4/2020,3.11345,3536,1569,166,0,1.27E-05,527,6.5,3.8,39044,41928,196,165,0.740263149,3.11345,0.884476273
Region 10,202015,11/4/2020,2.10689,2205,1787,146,843,8.67E-06,471,5.6,2.5,35704,38304,195,164,0.653544283,2.10689,0.439622806
Region 10,202016,18/04/2020,1.75622,2310,1601,93,4931,9.29E-06,390.5,4.2,1.8,42113,44463,193,164,0.627614105,1.75622,0.528837661
Region 10,202017,25/04/2020,1.70239,2325,1389,190,7558,8.36E-06,353.75,3.1,1.1,57551,59810,194,163,0.222449564,1.70239,0.658999186
Region 10,202018,2/5/2020,1.21783,2887,1136,103,16612,4.33E-06,345.625,2.6,1,49599,51878,193,160,0.183243747,1.21783,0.511312056
Region 10,202019,9/5/2020,1.15841,2304,1028,104,19707,2.79E-06,251.6875,2.2,0.9,53364,55459,193,157,0.127866737,1.15841,0.346018316
Region 10,202020,16/05/2020,1.11115,1861,501,74,21466,3.71E-06,282.15625,1.7,0.7,37887,38781,196,157,0.160606268,1.11115,0.296216445
Region 10,202021,23/05/2020,0.638817,1680,177,52,17873,3.10E-06,37,1.5,0.6,38674,40149,194,152,0.077012224,0.638817,0.709593015
