region,week_end_date,wILI_historical,wILI
Region 5,2020-03-14,4.60826,4.60826
Region 6,2020-03-14,7.14202,7.14202
Region 7,2020-03-14,6.4650300000000005,6.4650300000000005
Region 8,2020-03-14,6.30264,6.30264
Region 9,2020-03-14,4.0399199999999995,4.0399199999999995
Region 10,2020-03-14,5.81769,5.81769
Region 1,2020-03-21,5.909269999999999,5.909269999999999
Region 2,2020-03-21,11.2001,11.2001
Region 3,2020-03-21,6.81005,6.81005
Region 4,2020-03-21,5.94913,5.94913
Region 5,2020-03-21,4.5925400000000005,4.5925400000000005
Region 6,2020-03-21,8.2729,8.2729
Region 7,2020-03-21,5.8964,5.8964
Region 8,2020-03-21,6.23306,6.23306
Region 9,2020-03-21,4.615419999999999,4.615419999999999
Region 10,2020-03-21,5.86867,5.86867
Region 1,2020-03-28,4.82762,4.82762
Region 2,2020-03-28,11.9367,11.9367
Region 3,2020-03-28,4.93616,4.93616
Region 4,2020-03-28,4.29054,4.29054
Region 5,2020-03-28,3.12067,3.12067
Region 6,2020-03-28,5.806080000000001,5.806080000000001
Region 7,2020-03-28,3.6933199999999995,3.6933199999999995
Region 8,2020-03-28,3.9985800000000005,3.9985800000000005
Region 9,2020-03-28,3.41434,3.41434
Region 10,2020-03-28,4.3445599999999995,4.3445599999999995
Region 1,2020-04-04,4.3656,4.3656
Region 2,2020-04-04,10.5313,10.5313
Region 3,2020-04-04,3.7669699999999997,3.7669699999999997
Region 4,2020-04-04,3.09271,3.09271
Region 5,2020-04-04,2.22744,2.22744
Region 6,2020-04-04,4.23263,4.23263
Region 7,2020-04-04,1.95232,1.95232
Region 8,2020-04-04,2.96408,2.96408
Region 9,2020-04-04,2.65873,2.65873
Region 10,2020-04-04,3.11345,3.11345
Region 1,2020-04-11,3.4093,3.4093
Region 2,2020-04-11,7.83215,7.83215
Region 3,2020-04-11,2.97225,2.97225
Region 4,2020-04-11,1.9953,1.9953
Region 5,2020-04-11,1.7578900000000002,1.7578900000000002
Region 6,2020-04-11,3.145,3.145
Region 7,2020-04-11,1.37083,1.37083
Region 8,2020-04-11,2.13556,2.13556
Region 9,2020-04-11,2.04735,2.04735
Region 10,2020-04-11,2.10689,2.10689
Region 1,2020-04-18,3.0849599999999997,3.0849599999999997
Region 2,2020-04-18,5.21727,5.21727
Region 3,2020-04-18,2.40124,2.40124
Region 4,2020-04-18,1.60296,1.60296
Region 5,2020-04-18,1.45549,1.45549
Region 6,2020-04-18,2.32955,2.32955
Region 7,2020-04-18,1.12729,1.12729
Region 8,2020-04-18,1.37066,1.37066
Region 9,2020-04-18,1.47526,1.47526
Region 10,2020-04-18,1.7562200000000001,1.7562200000000001
Region 1,2020-04-25,2.1265099999999997,2.1265099999999997
Region 2,2020-04-25,3.50719,3.50719
Region 3,2020-04-25,2.03146,2.03146
Region 4,2020-04-25,1.20767,1.20767
Region 5,2020-04-25,1.53924,1.53924
Region 6,2020-04-25,2.20378,2.20378
Region 7,2020-04-25,0.8564459999999999,0.8564459999999999
Region 8,2020-04-25,1.24391,1.24391
Region 9,2020-04-25,1.27652,1.27652
Region 10,2020-04-25,1.70239,1.70239
Region 1,2020-05-02,1.68839,1.68839
Region 2,2020-05-02,2.54442,2.54442
Region 3,2020-05-02,1.80355,1.80355
Region 4,2020-05-02,0.998975,0.998975
Region 5,2020-05-02,1.4804899999999999,1.4804899999999999
Region 6,2020-05-02,1.65966,1.65966
