date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits,target_death,target_hosp
3/7/20,10,X,US,0.9623655913978495,0.6681034482758621,0.40298507462686567,0.9999999999999999,0.9888579387186629,0.014084507042253523,0.7112418383118317,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999999,1.0,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4700539792603591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2.0
3/14/20,11,X,US,1.0,0.7931034482758621,0.4660033167495854,0.9948979591836734,1.0,0.0,0.7214774627006908,0.9705462507931901,0.9612914702219768,0.9896329883795578,0.978811627891983,0.9749832091098283,0.9660075204712439,0.9707973182984078,0.9641564956974871,0.9603486861890076,0.953883550364231,0.9830776523394875,0.971844441793149,0.9784901261465586,0.9701167636653062,0.9722861350427037,0.965897650888062,0.9557666289722814,0.9483553833946312,0.9593393916276223,0.9529002671795802,0.9715003162806377,0.9610999536369269,0.9716691241393403,0.9648472169556281,0.9704773794292783,0.9631531187246445,0.9206342366929063,0.010000000000000002,0.003415991774930725,0.0028984193951116606,0.0028902030927882446,0.0,0.0,0.0,0.00039527210641603484,0.48658167544682573,0.0330362013136039,0.0016230604427708887,0.0,0.0,0.0,0.0839694656488561,0.08000000000000002,41,20.0
3/21/20,12,X,US,0.9193548387096775,1.0,0.4892205638474295,0.8622448979591836,0.9080779944289693,0.09859154929577466,0.6112039870043846,0.5574204783654665,0.540219272845395,0.5549154172864967,0.5467805080645178,0.556510235437816,0.5414851717325806,0.5685811977764617,0.5498435767483791,0.586358145803669,0.5644513690273611,0.536732221503377,0.537552727868031,0.5579454926775855,0.5455442698704573,0.5727802729588556,0.5544149482036561,0.5822752675445683,0.5569973846952826,0.5647506879258171,0.5467564875556936,0.5543698513619917,0.5400528214403475,0.5627810984429348,0.5485429888994988,0.5728697336378175,0.5527751159551616,0.9272636740273486,0.06999999999999999,0.02582869898126815,0.0199836701613163,0.019985721620106086,0.0,0.0,0.0,0.04374344644337452,0.5002051867202133,0.06339534350850927,0.025319742907225867,0.0,0.0,0.0,0.13740458015267265,0.32,406,1994.0
3/28/20,13,X,US,0.4059139784946237,0.8620689655172413,0.2802653399668325,0.42091836734693866,0.4456824512534819,0.5985915492957747,0.2248209948585308,0.2768838798903427,0.2892591870865104,0.29065297165295106,0.3134678050009657,0.29532865481819975,0.3115223604131446,0.28801426269852554,0.3006221715909339,0.2467216454968671,0.24963583502293282,0.3085107578902067,0.3441013545998798,0.30097953900116403,0.3209838687690053,0.2861162938941962,0.29755169809403603,0.22912809614420748,0.22880043569134026,0.24959811761994571,0.25409344212080065,0.27626432371034165,0.28588171935640005,0.2825743709689196,0.29463329519708326,0.2695848774089508,0.2811312941612194,0.8885465258677184,0.29,0.10099972603321367,0.0627868798340125,0.05615810640395803,0.026820194028444946,0.051332800343193645,0.0031154470671909177,0.3127480744209538,0.4595601335111139,0.03056010106366481,0.15652794910082451,0.0,0.0,0.0,0.12213740458015465,0.8200000000000001,2427,14244.0
4/4/20,14,X,US,0.051075268817204256,0.15517241379310343,0.12106135986733002,0.0892857142857143,0.13370473537604455,0.9084507042253521,0.015929091884048785,0.07896283155620548,0.10905563187652073,0.08289963453530302,0.12467260340861216,0.08249618839218426,0.11449351566652372,0.08134381307787558,0.10832629326303289,0.06415116273744742,0.07901896809799577,0.08996702468559975,0.14815600539518992,0.08554592917131404,0.1219476952881261,0.07981535794326489,0.10557007818467276,0.05733487060996856,0.07028312581065593,0.06443058461908197,0.08096697253162913,0.07603666756176308,0.10067687717450158,0.08261410429727334,0.10854093638072493,0.07282699676972604,0.09804162533271477,0.523275554810575,0.77,0.18631561175974629,0.09604666340283739,0.08896072310927126,0.08931430724310069,0.2720979661876255,0.025669158201264107,0.6711390973522259,0.4717450804611274,0.06841213792795107,0.5183405830033111,0.0,0.0,0.0,0.2595419847328273,0.98,8000,30564.5
4/11/20,15,X,US,0.043010752688172005,0.1293103448275862,0.0713101160862355,0.03826530612244894,0.0473537604456824,0.9577464788732395,0.0,0.0596492496099561,0.08596144642939785,0.06607854576172512,0.1059148602653224,0.06132387386254695,0.09253848974972662,0.05714555168624208,0.08471608235358102,0.04276915857497787,0.059557761334941006,0.07059147563508072,0.1282474110102298,0.06306573100095081,0.09902514149988112,0.05706651945836971,0.0830910747371301,0.03865173158713306,0.052844988557788186,0.0459746882770844,0.06299677100684911,0.06354550844260481,0.08610305904240761,0.06067162808698923,0.08610076524467059,0.05019553639669744,0.07639119509583542,0.28098388161618615,0.9500000000000001,0.21700393561881615,0.10992154647234453,0.10293002175599424,0.6953235377225204,0.6984088294366554,0.05494974436049866,1.0,0.575840252075924,0.2596173169312879,0.9492306693501267,1.0,0.15017420891734004,1.0,0.25190839694656475,1.0,14637,45540.25
4/18/20,16,X,US,0.010752688172043001,0.1594827586206896,0.09618573797678276,0.0,0.0,1.0,0.017742800365895928,0.04895647896371308,0.0704978996503755,0.04601140595082459,0.0832870607704739,0.04729069264409613,0.07641584097451837,0.047717177772077846,0.074327863672916,0.04039346443097036,0.055962339077344214,0.051701105349622634,0.10734584845781714,0.04920632318156476,0.08316594440205011,0.048424961407034284,0.07288338072774833,0.03482487091629308,0.047932210025324606,0.035262739655303244,0.05152143765894013,0.04475809841258943,0.06560305030013769,0.04548212674595742,0.06920412669143355,0.042839041990756166,0.06734243416006036,0.16740848845149575,0.9199999999999999,0.20123012098009344,0.11098422896844952,0.10485111820411275,0.987237449373646,0.98194333404832,0.0866275714918343,0.8011589158564504,0.8213836359223192,0.6833534292686906,0.9753294812698825,0.3841663437138398,1.0,0.3871212433750624,0.1984732824427482,0.8400000000000001,15039,36485.375
4/25/20,17,X,US,0.0,0.0,0.0,0.017857142857142794,0.03621169916434541,0.971830985915493,0.06338516859603194,0.0,0.0,0.0,0.011175362596990618,0.0,3.806256984573153e-05,0.0,0.0,0.0,0.0,0.0,0.02406326723455965,0.0,0.0032745518468663137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10288376551945416,1.0,0.2118875300630528,0.1700098195551489,0.14876364077755844,0.8965574079306772,0.9999999999999999,0.1588287550825964,0.7164924541456907,1.0,1.0,1.0,0.34511998481013356,0.9985581845984735,0.3640364220405543,0.1984732824427482,0.6200000000000001,15419,32629.8125
5/2/20,18,X,US,0.07795698924731176,0.13362068965517238,0.1558872305140962,0.06887755102040816,0.07242339832869082,0.9225352112676057,0.1454436488660379,0.11521722733983397,0.10731373816712331,0.11971512107487808,0.12839690165749398,0.125240419516927,0.12646521304943642,0.11672666447092533,0.11771932864085971,0.08456021856155643,0.08311040462089977,0.14256381293360648,0.16362380404433957,0.13092478202475255,0.13496780247226697,0.11303689426724745,0.11304873244801358,0.07214268155702569,0.07051356301226974,0.07950432746954278,0.07876613694115966,0.09627183542957224,0.09572562724615324,0.10881701708105446,0.10909192494552761,0.10878868900105576,0.10928796020478271,0.08862430239282376,0.96,0.1946903012724797,0.19081987204238862,0.16429996178542935,0.7960817556748611,0.9166585418169764,0.21689126263100686,0.8094150258299343,0.9157110070014798,0.9043148738197451,0.8785950788807375,0.3713548104224865,0.34771233570393145,0.39942258820221505,0.10687022900763665,0.48000000000000004,13549,36861.3438
5/9/20,19,X,US,0.17473118279569888,0.2801724137931034,0.2752902155887231,0.13520408163265307,0.11142061281337046,0.8028169014084507,0.22460019556508848,0.1792308407428832,0.15137850162957206,0.19522774090134049,0.18299828753097894,0.19710222044469933,0.17946638723940345,0.18033272034688808,0.16452351430258844,0.12870895297595614,0.11579120645685068,0.2307804031324751,0.2267722629123181,0.20689817505072472,0.19036204987623712,0.17431758627517352,0.1579408920618163,0.11062690034411693,0.09862667204960557,0.12397854635350802,0.1113272151150991,0.15594228718055048,0.13891199492544987,0.16909249518490777,0.15434274858279978,0.16984843557940071,0.1542963994088996,0.07060425485031233,0.9400000000000001,0.17653974894128519,0.22756294465831303,0.18980610922559596,0.932207779975511,0.837840999941501,0.17867765267918248,0.7096194539755041,0.840612584877773,0.8246059770782276,0.7963383756411089,0.25986695107918223,0.33867224781410493,0.28682061245559987,0.1679389312977122,0.38000000000000006,12282,32316.8281
